Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,276.3525,-113.5825,0.0,bottom
C2,1uF,C_0402_1005Metric,264.17,-53.56,180.0,bottom
C3,1uF,C_0402_1005Metric,264.17,-59.1025,0.0,bottom
C4,10p,C_0402_1005Metric,270.458,-126.56125,90.0,bottom
C5,10p,C_0402_1005Metric,276.303,-126.55125,-90.0,bottom
C6,100n,C_0402_1005Metric,271.568,-109.09,90.0,bottom
C7,100n,C_0402_1005Metric,269.3225,-126.5425,-90.0,bottom
C8,1u,C_0402_1005Metric,266.308,-109.09,90.0,bottom
C9,100n,C_0402_1005Metric,264.15,-60.52,0.0,bottom
C10,100n,C_0402_1005Metric,265.732,-113.84125,180.0,bottom
C11,100n,C_0402_1005Metric,287.429129,-106.6,0.0,bottom
C12,100n,C_0402_1005Metric,268.1525,-126.5325,-90.0,bottom
C13,100n,C_0402_1005Metric,264.235,-118.9025,-90.0,bottom
C14,100n,C_0402_1005Metric,265.732,-112.57125,180.0,bottom
C15,100n,C_0402_1005Metric,270.552,-109.09,90.0,bottom
C16,100n,C_0402_1005Metric,276.43375,-118.144375,0.0,bottom
C17,1u,C_0402_1005Metric,265.2412,-109.09,90.0,bottom
C18,100n,C_0402_1005Metric,287.3825,-122.4025,0.0,bottom
C19,100n,C_0402_1005Metric,292.8825,-122.3525,0.0,bottom
C20,100n,C_0402_1005Metric,298.4825,-122.3325,0.0,bottom
C21,100n,C_0402_1005Metric,304.2625,-122.3325,0.0,bottom
C22,100n,C_0402_1005Metric,309.9425,-122.3825,0.0,bottom
C23,100n,C_0402_1005Metric,324.1325,-133.8625,-90.0,bottom
C24,100n,C_0402_1005Metric,324.21,-108.5425,-90.0,bottom
C25,100n,C_0402_1005Metric,324.21,-82.61,-90.0,bottom
C26,100n,C_0402_1005Metric,324.2225,-56.6625,-90.0,bottom
C27,100n,C_0402_1005Metric,297.895,-47.99,0.0,bottom
C28,100n,C_0402_1005Metric,247.4225,-48.0425,180.0,bottom
C29,100n,C_0402_1005Metric,205.1725,-48.0425,0.0,bottom
C30,100n,C_0402_1005Metric,159.84,-48.0,0.0,bottom
C31,100n,C_0402_1005Metric,111.41,-47.98,0.0,bottom
C32,100n,C_0402_1005Metric,73.07,-47.99,0.0,bottom
C33,100n,C_0402_1005Metric,26.4625,-48.04,0.0,bottom
C34,100n,C_0402_1005Metric,4.0725,-47.8525,-90.0,bottom
C35,100n,C_0402_1005Metric,4.1025,-53.8225,-90.0,bottom
C36,100n,C_0402_1005Metric,4.1625,-59.8325,-90.0,bottom
C37,100n,C_0402_1005Metric,-13.6175,-48.02,0.0,bottom
C38,100n,C_0402_1005Metric,-15.8275,-56.6325,90.0,bottom
C39,100n,C_0402_1005Metric,-15.7975,-82.59,90.0,bottom
C40,100n,C_0402_1005Metric,-15.7675,-108.5,90.0,bottom
C41,100n,C_0402_1005Metric,-15.8375,-134.78,-90.0,bottom
C42,100n,C_0402_1005Metric,31.12,-160.96,180.0,bottom
C43,100n,C_0402_1005Metric,72.22,-160.96,180.0,bottom
C44,100n,C_0402_1005Metric,101.72,-161.0,180.0,bottom
C45,100n,C_0402_1005Metric,136.98,-161.0,180.0,bottom
C46,100n,C_0402_1005Metric,172.24,-161.0,180.0,bottom
C47,100n,C_0402_1005Metric,207.5,-161.01,180.0,bottom
C48,100n,C_0402_1005Metric,242.78,-160.99,180.0,bottom
C49,100n,C_0402_1005Metric,278.06,-161.0,180.0,bottom
D1,D,D_SOD-123,-7.0275,-55.56,90.0,bottom
D2,D,D_SOD-123,31.0725,-55.56,90.0,bottom
D3,D,D_SOD-123,50.1225,-55.56,90.0,bottom
D4,D,D_SOD-123,69.1725,-55.56,90.0,bottom
D5,D,D_SOD-123,88.2225,-55.56,90.0,bottom
D6,D,D_SOD-123,116.7975,-55.56,90.0,bottom
D7,D,D_SOD-123,135.8475,-55.56,90.0,bottom
D8,D,D_SOD-123,154.8975,-55.56,90.0,bottom
D9,D,D_SOD-123,173.9475,-55.56,90.0,bottom
D10,D,D_SOD-123,202.5225,-55.56,90.0,bottom
D11,D,D_SOD-123,221.5725,-55.56,90.0,bottom
D12,D,D_SOD-123,240.6225,-55.56,90.0,bottom
D13,D,D_SOD-123,259.6725,-55.56,90.0,bottom
D14,D,D_SOD-123,283.485,-55.56,90.0,bottom
D15,D,D_SOD-123,302.535,-55.56,90.0,bottom
D16,D,D_SOD-123,321.585,-55.56,90.0,bottom
D17,D,D_SOD-123,259.6725,-79.3725,90.0,bottom
